WL FLUX ERROR
1180.8 4.597671891706539e-15 2.8036389009386446e-16
1181.11 4.33168694314516e-15 2.8427789618883477e-16
1181.42 4.6514590335645124e-15 2.822170821186553e-16
1181.72 4.256856257079654e-15 2.8012504352598306e-16
1182.03 3.741736395929493e-15 2.7612045212372864e-16
1182.33 4.596555476048094e-15 2.745461877652863e-16
1182.64 3.90190685952971e-15 2.7150691317336004e-16
1182.95 3.1775449637821493e-15 2.6787834806089704e-16
1183.25 3.6771210284382454e-15 2.7024992940521763e-16
1183.56 4.257250405301596e-15 2.685357490761489e-16
1183.87 3.356371889157122e-15 2.6609657615728133e-16
1184.17 3.462616548232637e-15 2.6192300668943253e-16
1184.48 3.4243444858557373e-15 2.5945288091003357e-16
1184.79 3.012187890202795e-15 2.60373502288442e-16
1185.09 3.6093799198304985e-15 2.6584635017833235e-16
1185.4 3.738437169798516e-15 2.660229715661058e-16
1185.71 4.136154957203504e-15 2.68782522631118e-16
1186.02 3.637720347871706e-15 2.6734479870630114e-16
1186.32 3.973300107208115e-15 2.648395162363433e-16
1186.63 4.36381879827505e-15 2.6492501431939064e-16
1186.94 5.350572952964261e-15 2.67999487487544e-16
1187.25 4.685089777854898e-15 2.6740931751823133e-16
1187.56 3.140215962617151e-15 2.580507064004314e-16
1187.86 3.695583245080014e-15 2.542889319457396e-16
1188.17 3.1024088280289743e-15 2.348391273693205e-16
1188.48 1.303288443724979e-15 2.077458494778806e-16
1188.79 1.2967723004974931e-15 2.0471038180195654e-16
1189.09 1.7767158701042178e-15 2.1904315607549717e-16
1189.4 2.978841830209779e-15 2.2609443412781757e-16
1189.71 1.410334858592242e-15 2.105553378368315e-16
1190.02 5.632923978628969e-16 1.8967247289423638e-16
1190.33 3.980846539549079e-16 1.818776766098286e-16
1190.64 5.851640781168455e-16 1.8619081372861304e-16
1190.94 7.606065441610643e-16 1.9135717855389515e-16
1191.25 8.695622695188296e-16 1.884342928635501e-16
1191.56 7.649834245885416e-16 1.8977544081603828e-16
1191.87 1.5701430403083846e-15 2.067720218605017e-16
1192.18 2.4328004631804425e-15 2.2153374490411828e-16
1192.49 2.2781082381624015e-15 2.1813325492378508e-16
1192.8 8.05858162510559e-16 1.913598914061308e-16
1193.11 2.727011003798214e-16 1.7520977330916634e-16
1193.42 3.4152619947699345e-16 1.7268712161284345e-16
1193.73 7.404115865000283e-16 1.825609874531709e-16
1194.04 1.452691587732294e-15 1.989352481571555e-16
1194.34 1.8524705147602894e-15 2.1041933393584715e-16
1194.65 2.746722476111109e-15 2.268613553033289e-16
1194.96 3.8367934445146635e-15 2.4455144987245967e-16
1195.27 3.877675049246451e-15 2.4796079361960124e-16
1195.58 4.682149033368952e-15 2.521962268979403e-16
1195.89 4.449827941993597e-15 2.551519861805317e-16
1196.2 4.603486493678467e-15 2.552375587803495e-16
1196.51 4.4235527202248066e-15 2.4758133757265397e-16
1196.82 3.134153007438714e-15 2.382425682865493e-16
1197.13 4.2081363357965236e-15 2.355061862904099e-16
1197.44 3.653386442479878e-15 2.280308805282955e-16
1197.75 2.6970195488179526e-15 2.2453138584814313e-16
1198.06 3.301982265342077e-15 2.2296560444238263e-16
1198.38 2.0775394720818883e-15 2.1077698827435653e-16
1198.69 2.0797156813983863e-15 1.993642328227663e-16
1199.0 7.418918969317785e-16 1.8317534634719457e-16
1199.31 1.2580690049236049e-15 1.8381754977725178e-16
1199.62 1.144598755249557e-15 1.837593928420781e-16
1199.93 9.083253024264345e-16 1.8274875370796632e-16
1200.24 1.239840322693514e-15 1.8412781601608595e-16
1200.55 1.5232587862922568e-15 1.8512906244782559e-16
1200.86 1.3621720869777398e-15 1.8933556900522256e-16
1201.17 2.0922196213891367e-15 1.9738291685589123e-16
1201.48 2.622612228861483e-15 2.0127547812640429e-16
1201.8 2.0521345429827214e-15 2.0093450202807537e-16
1202.11 2.9701937816689172e-15 2.0531728853200521e-16
1202.42 2.6060779852902735e-15 2.138696254446187e-16
1202.73 3.3677406450852558e-15 2.1859256760804712e-16
1203.04 3.0433917300303645e-15 2.1793525868946546e-16
1203.35 3.533070818774795e-15 2.1443612360670558e-16
1203.67 2.6372380137718846e-15 2.0379061544829988e-16
1203.98 1.946381727778339e-15 1.8717523489508356e-16
1204.29 6.881449209106953e-16 1.6712529681003982e-16
1204.6 3.1047176006484557e-16 1.604136706878238e-16
1204.92 4.654534149954093e-16 1.6388468662983809e-16
1205.23 1.4016360771926952e-15 1.706809536309386e-16
1205.54 1.0340522936788308e-15 1.717579571434548e-16
1205.85 1.0772016642033662e-15 1.6649267157660435e-16
1206.16 3.219920238177129e-16 1.5721420274094346e-16
1206.48 2.6549420183915932e-17 1.5468074314996954e-16
1206.79 3.8572955482445137e-16 1.5808525308050439e-16
1207.1 7.980517264720009e-16 1.675373186410923e-16
1207.42 1.937048544848091e-15 1.8348378096740107e-16
1207.73 3.040721884097951e-15 1.9288606670497425e-16
1208.04 4.1107545905046406e-15 1.9527007007969196e-16
1208.35 4.794922859470703e-15 1.9678223005530497e-16
1208.67 6.680095605299261e-15 2.0039600524340926e-16
1208.98 4.973582440316164e-15 1.995686289575468e-16
1209.29 5.150977157984234e-15 1.9229307633239537e-16
1209.61 5.173633631987108e-15 1.8823021916244028e-16
1209.92 5.740687784879777e-15 1.8313113119714156e-16
1210.23 6.751737024963098e-15 1.7682281243621462e-16
1210.55 1.617868353020204e-14 1.7273516602270815e-16
1210.86 2.086440554096499e-14 1.703444792733934e-16
1211.18 4.7980410027127125e-14 1.6723627492466902e-16
1211.49 2.7226574217173e-13 1.6544295365749466e-16
1211.8 1.786615877772589e-12 1.6588206946809352e-16
1212.12 -4.750352550592587e-12 1.709237124884644e-16
1212.43 8.870659308901726e-15 2.0720270909299293e-16
1212.75 -3.813064039633052e-18 6.816618708923089e-16
1213.06 -9.328316939054506e-22 2.372073425345063e-15
1213.38 6.619952345814742e-24 4.177292630122456e-15
1213.69 -7.492207998827708e-27 4.685310238556755e-15
1214.0 6.273477260085236e-30 3.726534145190063e-15
1214.32 4.902141368036125e-28 1.7397960171994473e-15
